GB_Accession/TriTrypDB,Species,Strain
Tb427VSG-7537,Trypanosoma brucei brucei,NA
Tb427VSG-7538,Trypanosoma brucei brucei,NA
Tb427VSG-7539,Trypanosoma brucei brucei,NA
Tb427VSG-7540,Trypanosoma brucei brucei,NA
Tb427VSG-7541,Trypanosoma brucei brucei,NA
Tb427VSG-7542,Trypanosoma brucei brucei,NA
Tb427VSG-7543,Trypanosoma brucei brucei,NA
Tb427VSG-7544,Trypanosoma brucei brucei,NA
Tb427VSG-7545,Trypanosoma brucei brucei,NA
Tb427VSG-7546,Trypanosoma brucei brucei,NA
Tb427VSG-7547,Trypanosoma brucei brucei,NA
Tb427VSG-7548,Trypanosoma brucei brucei,NA
Tb427VSG-7549,Trypanosoma brucei brucei,NA
Tb427VSG-7550,Trypanosoma brucei brucei,NA
Tb427VSG-7551,Trypanosoma brucei brucei,NA
Tb427VSG-7552,Trypanosoma brucei brucei,NA
Tb427VSG-7553,Trypanosoma brucei brucei,NA
Tb427VSG-7554,Trypanosoma brucei brucei,NA
Tb427VSG-7555,Trypanosoma brucei brucei,NA
Tb427VSG-7556,Trypanosoma brucei brucei,NA
Tb427VSG-7557,Trypanosoma brucei brucei,NA
Tb427VSG-7558,Trypanosoma brucei brucei,NA
Tb427VSG-7559,Trypanosoma brucei brucei,NA
Tb427VSG-7560,Trypanosoma brucei brucei,NA
Tb427VSG-7561,Trypanosoma brucei brucei,NA
Tb427VSG-7562,Trypanosoma brucei brucei,NA
Tb427VSG-7563,Trypanosoma brucei brucei,NA
Tb427VSG-7564,Trypanosoma brucei brucei,NA
Tb427VSG-7565,Trypanosoma brucei brucei,NA
Tb427VSG-7566,Trypanosoma brucei brucei,NA
Tb427VSG-7567,Trypanosoma brucei brucei,NA
Tb427VSG-7568,Trypanosoma brucei brucei,NA
Tb427VSG-7569,Trypanosoma brucei brucei,NA
Tb427VSG-7570,Trypanosoma brucei brucei,NA
Tb427VSG-7571,Trypanosoma brucei brucei,NA
Tb427VSG-7572,Trypanosoma brucei brucei,NA
Tb427VSG-7573,Trypanosoma brucei brucei,NA
Tb427VSG-7574,Trypanosoma brucei brucei,NA
Tb427VSG-7575,Trypanosoma brucei brucei,NA
Tb427VSG-7576,Trypanosoma brucei brucei,NA
Tb427VSG-7577,Trypanosoma brucei brucei,NA
Tb427VSG-7578,Trypanosoma brucei brucei,NA
Tb427VSG-7579,Trypanosoma brucei brucei,NA
Tb427VSG-7580,Trypanosoma brucei brucei,NA
Tb427VSG-7581,Trypanosoma brucei brucei,NA
Tb427VSG-7582,Trypanosoma brucei brucei,NA
Tb427VSG-7583,Trypanosoma brucei brucei,NA
Tb427VSG-7584,Trypanosoma brucei brucei,NA
Tbb927VSG-1,Trypanosoma brucei brucei,NA
Tbb927VSG-2,Trypanosoma brucei brucei,NA
Tbb927VSG-3,Trypanosoma brucei brucei,NA
Tbb927VSG-4,Trypanosoma brucei brucei,NA
Tbb927VSG-5,Trypanosoma brucei brucei,NA
Tbb927VSG-6,Trypanosoma brucei brucei,NA
Tbb927VSG-7,Trypanosoma brucei brucei,NA
Tbb927VSG-8,Trypanosoma brucei brucei,NA
Tbb927VSG-9,Trypanosoma brucei brucei,NA
Tbb927VSG-10,Trypanosoma brucei brucei,NA
Tbb927VSG-11,Trypanosoma brucei brucei,NA
Tbb927VSG-12,Trypanosoma brucei brucei,NA
Tbb927VSG-13,Trypanosoma brucei brucei,NA
Tbb927VSG-15,Trypanosoma brucei brucei,NA
Tbb927VSG-16,Trypanosoma brucei brucei,NA
Tbb927VSG-17,Trypanosoma brucei brucei,NA
Tbb927VSG-18,Trypanosoma brucei brucei,NA
Tbb927VSG-19,Trypanosoma brucei brucei,NA
Tbb927VSG-20,Trypanosoma brucei brucei,NA
Tbb927VSG-22,Trypanosoma brucei brucei,NA
Tbb927VSG-23,Trypanosoma brucei brucei,NA
Tbb927VSG-24,Trypanosoma brucei brucei,NA
Tbb927VSG-25,Trypanosoma brucei brucei,NA
Tbb927VSG-26,Trypanosoma brucei brucei,NA
Tbb927VSG-27,Trypanosoma brucei brucei,NA
Tbb927VSG-30,Trypanosoma brucei brucei,NA
Tbb927VSG-31,Trypanosoma brucei brucei,NA
Tbb927VSG-32,Trypanosoma brucei brucei,NA
Tbb927VSG-33,Trypanosoma brucei brucei,NA
Tbb927VSG-34,Trypanosoma brucei brucei,NA
Tbb927VSG-35,Trypanosoma brucei brucei,NA
Tbb927VSG-36,Trypanosoma brucei brucei,NA
Tbb927VSG-37,Trypanosoma brucei brucei,NA
Tbb927VSG-38,Trypanosoma brucei brucei,NA
Tbb927VSG-40,Trypanosoma brucei brucei,NA
Tbb927VSG-41,Trypanosoma brucei brucei,NA
Tbb927VSG-42,Trypanosoma brucei brucei,NA
Tbb927VSG-43,Trypanosoma brucei brucei,NA
Tbb927VSG-44,Trypanosoma brucei brucei,NA
Tbb927VSG-45,Trypanosoma brucei brucei,NA
Tbb927VSG-46,Trypanosoma brucei brucei,NA
Tbb927VSG-47,Trypanosoma brucei brucei,NA
Tbb927VSG-48,Trypanosoma brucei brucei,NA
Tbb927VSG-49,Trypanosoma brucei brucei,NA
Tbb927VSG-50,Trypanosoma brucei brucei,NA
Tbb927VSG-51,Trypanosoma brucei brucei,NA
Tbb927VSG-52,Trypanosoma brucei brucei,NA
Tbb927VSG-53,Trypanosoma brucei brucei,NA
Tbb927VSG-54,Trypanosoma brucei brucei,NA
Tbb927VSG-55,Trypanosoma brucei brucei,NA
Tbb927VSG-56,Trypanosoma brucei brucei,NA
Tbb927VSG-57,Trypanosoma brucei brucei,NA
Tbb927VSG-58,Trypanosoma brucei brucei,NA
Tbb927VSG-101,Trypanosoma brucei brucei,NA
Tbb927VSG-102,Trypanosoma brucei brucei,NA
Tbb927VSG-103,Trypanosoma brucei brucei,NA
Tbb927VSG-104,Trypanosoma brucei brucei,NA
Tbb927VSG-107,Trypanosoma brucei brucei,NA
Tbb927VSG-108,Trypanosoma brucei brucei,NA
Tbb927VSG-110,Trypanosoma brucei brucei,NA
Tbb927VSG-112,Trypanosoma brucei brucei,NA
Tbb927VSG-113,Trypanosoma brucei brucei,NA
Tbb927VSG-114,Trypanosoma brucei brucei,NA
Tbb927VSG-116,Trypanosoma brucei brucei,NA
Tbb927VSG-124,Trypanosoma brucei brucei,NA
Tbb927VSG-125,Trypanosoma brucei brucei,NA
Tbb927VSG-126,Trypanosoma brucei brucei,NA
Tbb927VSG-127,Trypanosoma brucei brucei,NA
Tbb927VSG-128,Trypanosoma brucei brucei,NA
Tbb927VSG-129,Trypanosoma brucei brucei,NA
Tbb927VSG-132,Trypanosoma brucei brucei,NA
Tbb927VSG-133,Trypanosoma brucei brucei,NA
Tbb927VSG-137,Trypanosoma brucei brucei,NA
Tbb927VSG-140,Trypanosoma brucei brucei,NA
Tbb927VSG-142,Trypanosoma brucei brucei,NA
Tbb927VSG-146,Trypanosoma brucei brucei,NA
Tbb927VSG-147,Trypanosoma brucei brucei,NA
Tbb927VSG-148,Trypanosoma brucei brucei,NA
Tbb927VSG-149,Trypanosoma brucei brucei,NA
Tbb927VSG-157,Trypanosoma brucei brucei,NA
Tbb927VSG-158,Trypanosoma brucei brucei,NA
Tbb927VSG-159,Trypanosoma brucei brucei,NA
Tbb927VSG-161,Trypanosoma brucei brucei,NA
Tbb927VSG-165,Trypanosoma brucei brucei,NA
Tbb927VSG-168,Trypanosoma brucei brucei,NA
Tbb927VSG-169,Trypanosoma brucei brucei,NA
Tbb927VSG-172,Trypanosoma brucei brucei,NA
Tbb927VSG-176,Trypanosoma brucei brucei,NA
Tbb927VSG-177,Trypanosoma brucei brucei,NA
Tbb927VSG-179,Trypanosoma brucei brucei,NA
Tbb927VSG-180,Trypanosoma brucei brucei,NA
Tbb927VSG-181,Trypanosoma brucei brucei,NA
Tbb927VSG-182,Trypanosoma brucei brucei,NA
Tbb927VSG-183,Trypanosoma brucei brucei,NA
Tbb927VSG-184,Trypanosoma brucei brucei,NA
Tbb927VSG-185,Trypanosoma brucei brucei,NA
Tbb927VSG-186,Trypanosoma brucei brucei,NA
Tbb927VSG-187,Trypanosoma brucei brucei,NA
Tbb927VSG-189,Trypanosoma brucei brucei,NA
Tbb927VSG-191,Trypanosoma brucei brucei,NA
Tbb927VSG-197,Trypanosoma brucei brucei,NA
Tbb927VSG-200,Trypanosoma brucei brucei,NA
Tbb927VSG-201,Trypanosoma brucei brucei,NA
Tbb927VSG-206,Trypanosoma brucei brucei,NA
Tbb927VSG-207,Trypanosoma brucei brucei,NA
Tbb927VSG-208,Trypanosoma brucei brucei,NA
Tbb927VSG-209,Trypanosoma brucei brucei,NA
Tbb927VSG-210,Trypanosoma brucei brucei,NA
Tbb927VSG-214,Trypanosoma brucei brucei,NA
Tbb927VSG-215,Trypanosoma brucei brucei,NA
Tbb927VSG-216,Trypanosoma brucei brucei,NA
Tbb927VSG-217,Trypanosoma brucei brucei,NA
Tbb927VSG-218,Trypanosoma brucei brucei,NA
Tbb927VSG-221,Trypanosoma brucei brucei,NA
Tbb927VSG-222,Trypanosoma brucei brucei,NA
Tbb927VSG-226,Trypanosoma brucei brucei,NA
Tbb927VSG-227,Trypanosoma brucei brucei,NA
Tbb927VSG-228,Trypanosoma brucei brucei,NA
Tbb927VSG-229,Trypanosoma brucei brucei,NA
Tbb927VSG-230,Trypanosoma brucei brucei,NA
Tbb927VSG-232,Trypanosoma brucei brucei,NA
Tbb927VSG-236,Trypanosoma brucei brucei,NA
Tbb927VSG-237,Trypanosoma brucei brucei,NA
Tbb927VSG-239,Trypanosoma brucei brucei,NA
Tbb927VSG-242,Trypanosoma brucei brucei,NA
Tbb927VSG-243,Trypanosoma brucei brucei,NA
Tbb927VSG-244,Trypanosoma brucei brucei,NA
Tbb927VSG-245,Trypanosoma brucei brucei,NA
Tbb927VSG-246,Trypanosoma brucei brucei,NA
Tbb927VSG-247,Trypanosoma brucei brucei,NA
Tbb927VSG-248,Trypanosoma brucei brucei,NA
Tbb927VSG-249,Trypanosoma brucei brucei,NA
Tbb927VSG-260,Trypanosoma brucei brucei,NA
Tbb927VSG-262,Trypanosoma brucei brucei,NA
Tbb927VSG-264,Trypanosoma brucei brucei,NA
Tbb927VSG-265,Trypanosoma brucei brucei,NA
Tbb927VSG-266,Trypanosoma brucei brucei,NA
Tbb927VSG-270,Trypanosoma brucei brucei,NA
Tbb927VSG-271,Trypanosoma brucei brucei,NA
Tbb927VSG-273,Trypanosoma brucei brucei,NA
Tbb927VSG-274,Trypanosoma brucei brucei,NA
Tbb927VSG-276,Trypanosoma brucei brucei,NA
Tbb927VSG-282,Trypanosoma brucei brucei,NA
Tbb927VSG-285,Trypanosoma brucei brucei,NA
Tbb927VSG-286,Trypanosoma brucei brucei,NA
Tbb927VSG-289,Trypanosoma brucei brucei,NA
Tbb927VSG-291,Trypanosoma brucei brucei,NA
Tbb927VSG-292,Trypanosoma brucei brucei,NA
Tbb927VSG-294,Trypanosoma brucei brucei,NA
Tbb927VSG-297,Trypanosoma brucei brucei,NA
Tbb927VSG-300,Trypanosoma brucei brucei,NA
Tbb927VSG-301,Trypanosoma brucei brucei,NA
Tbb927VSG-306,Trypanosoma brucei brucei,NA
Tbb927VSG-308,Trypanosoma brucei brucei,NA
Tbb927VSG-309,Trypanosoma brucei brucei,NA
Tbb927VSG-311,Trypanosoma brucei brucei,NA
Tbb927VSG-312,Trypanosoma brucei brucei,NA
Tbb927VSG-313,Trypanosoma brucei brucei,NA
Tbb927VSG-315,Trypanosoma brucei brucei,NA
Tbb927VSG-316,Trypanosoma brucei brucei,NA
Tbb927VSG-318,Trypanosoma brucei brucei,NA
Tbb927VSG-319,Trypanosoma brucei brucei,NA
Tbb927VSG-501,Trypanosoma brucei brucei,NA
Tbb927VSG-505,Trypanosoma brucei brucei,NA
Tbb927VSG-506,Trypanosoma brucei brucei,NA
Tbb927VSG-507,Trypanosoma brucei brucei,NA
Tbb927VSG-508,Trypanosoma brucei brucei,NA
Tbb927VSG-509,Trypanosoma brucei brucei,NA
Tbb927VSG-513,Trypanosoma brucei brucei,NA
Tbb927VSG-514,Trypanosoma brucei brucei,NA
Tbb927VSG-518,Trypanosoma brucei brucei,NA
Tbb927VSG-520,Trypanosoma brucei brucei,NA
Tbb927VSG-522,Trypanosoma brucei brucei,NA
Tbb927VSG-523,Trypanosoma brucei brucei,NA
Tbb927VSG-524,Trypanosoma brucei brucei,NA
Tbb927VSG-527,Trypanosoma brucei brucei,NA
Tbb927VSG-528,Trypanosoma brucei brucei,NA
Tbb927VSG-529,Trypanosoma brucei brucei,NA
Tbb927VSG-534,Trypanosoma brucei brucei,NA
Tbb927VSG-535,Trypanosoma brucei brucei,NA
Tbb927VSG-536,Trypanosoma brucei brucei,NA
Tbb927VSG-539,Trypanosoma brucei brucei,NA
Tbb927VSG-543,Trypanosoma brucei brucei,NA
Tbb927VSG-549,Trypanosoma brucei brucei,NA
Tbb927VSG-550,Trypanosoma brucei brucei,NA
Tbb927VSG-553,Trypanosoma brucei brucei,NA
Tbb927VSG-558,Trypanosoma brucei brucei,NA
Tbb927VSG-559,Trypanosoma brucei brucei,NA
Tbb927VSG-560,Trypanosoma brucei brucei,NA
Tbb927VSG-562,Trypanosoma brucei brucei,NA
Tbb927VSG-563,Trypanosoma brucei brucei,NA
Tbb927VSG-564,Trypanosoma brucei brucei,NA
Tbb927VSG-565,Trypanosoma brucei brucei,NA
Tbb927VSG-569,Trypanosoma brucei brucei,NA
Tbb927VSG-570,Trypanosoma brucei brucei,NA
Tbb927VSG-571,Trypanosoma brucei brucei,NA
Tbb927VSG-573,Trypanosoma brucei brucei,NA
Tbb927VSG-574,Trypanosoma brucei brucei,NA
Tbb927VSG-575,Trypanosoma brucei brucei,NA
Tbb927VSG-576,Trypanosoma brucei brucei,NA
Tbb927VSG-577,Trypanosoma brucei brucei,NA
Tbb927VSG-579,Trypanosoma brucei brucei,NA
Tbb927VSG-580,Trypanosoma brucei brucei,NA
Tbb927VSG-581,Trypanosoma brucei brucei,NA
Tbb927VSG-582,Trypanosoma brucei brucei,NA
Tbb927VSG-584,Trypanosoma brucei brucei,NA
Tbb927VSG-587,Trypanosoma brucei brucei,NA
Tbb927VSG-588,Trypanosoma brucei brucei,NA
Tbb927VSG-589,Trypanosoma brucei brucei,NA
Tbb927VSG-590,Trypanosoma brucei brucei,NA
Tbb927VSG-591,Trypanosoma brucei brucei,NA
Tbb927VSG-592,Trypanosoma brucei brucei,NA
Tbb927VSG-594,Trypanosoma brucei brucei,NA
Tbb927VSG-595,Trypanosoma brucei brucei,NA
Tbb927VSG-596,Trypanosoma brucei brucei,NA
Tbb927VSG-597,Trypanosoma brucei brucei,NA
Tbb927VSG-599,Trypanosoma brucei brucei,NA
Tbb927VSG-602,Trypanosoma brucei brucei,NA
Tbb927VSG-606,Trypanosoma brucei brucei,NA
Tbb927VSG-607,Trypanosoma brucei brucei,NA
Tbb927VSG-610,Trypanosoma brucei brucei,NA
Tbb927VSG-616,Trypanosoma brucei brucei,NA
Tbb927VSG-619,Trypanosoma brucei brucei,NA
Tbb927VSG-620,Trypanosoma brucei brucei,NA
Tbb927VSG-621,Trypanosoma brucei brucei,NA
Tbb927VSG-623,Trypanosoma brucei brucei,NA
Tbb927VSG-625,Trypanosoma brucei brucei,NA
Tbb927VSG-629,Trypanosoma brucei brucei,NA
Tbb927VSG-630,Trypanosoma brucei brucei,NA
Tbb927VSG-632,Trypanosoma brucei brucei,NA
Tbb927VSG-638,Trypanosoma brucei brucei,NA
Tbb927VSG-640,Trypanosoma brucei brucei,NA
Tbb927VSG-641,Trypanosoma brucei brucei,NA
Tbb927VSG-643,Trypanosoma brucei brucei,NA
Tbb927VSG-644,Trypanosoma brucei brucei,NA
Tbb927VSG-645,Trypanosoma brucei brucei,NA
Tbb927VSG-646,Trypanosoma brucei brucei,NA
Tbb927VSG-647,Trypanosoma brucei brucei,NA
Tbb927VSG-649,Trypanosoma brucei brucei,NA
Tbb927VSG-655,Trypanosoma brucei brucei,NA
Tbb927VSG-661,Trypanosoma brucei brucei,NA
Tbb927VSG-663,Trypanosoma brucei brucei,NA
Tbb927VSG-665,Trypanosoma brucei brucei,NA
Tbb927VSG-667,Trypanosoma brucei brucei,NA
Tbb927VSG-672,Trypanosoma brucei brucei,NA
Tbb927VSG-674,Trypanosoma brucei brucei,NA
Tbb927VSG-675,Trypanosoma brucei brucei,NA
Tbb927VSG-680,Trypanosoma brucei brucei,NA
Tbb927VSG-682,Trypanosoma brucei brucei,NA
Tbb927VSG-684,Trypanosoma brucei brucei,NA
Tbb927VSG-685,Trypanosoma brucei brucei,NA
Tbb927VSG-686,Trypanosoma brucei brucei,NA
Tbb927VSG-687,Trypanosoma brucei brucei,NA
Tbb927VSG-689,Trypanosoma brucei brucei,NA
Tbb927VSG-692,Trypanosoma brucei brucei,NA
Tbb927VSG-694,Trypanosoma brucei brucei,NA
Tbb927VSG-697,Trypanosoma brucei brucei,NA
Tbb927VSG-699,Trypanosoma brucei brucei,NA
Tbb927VSG-702,Trypanosoma brucei brucei,NA
Tbb927VSG-703,Trypanosoma brucei brucei,NA
Tbb927VSG-704,Trypanosoma brucei brucei,NA
Tbb927VSG-708,Trypanosoma brucei brucei,NA
Tbb927VSG-711,Trypanosoma brucei brucei,NA
Tbb927VSG-712,Trypanosoma brucei brucei,NA
Tbb927VSG-713,Trypanosoma brucei brucei,NA
Tbb927VSG-716,Trypanosoma brucei brucei,NA
Tbb927VSG-720,Trypanosoma brucei brucei,NA
Tbb927VSG-721,Trypanosoma brucei brucei,NA
Tbb927VSG-722,Trypanosoma brucei brucei,NA
Tbb927VSG-723,Trypanosoma brucei brucei,NA
Tbb927VSG-724,Trypanosoma brucei brucei,NA
Tbb927VSG-727,Trypanosoma brucei brucei,NA
Tbb927VSG-728,Trypanosoma brucei brucei,NA
Tbb927VSG-732,Trypanosoma brucei brucei,NA
Tbb927VSG-733,Trypanosoma brucei brucei,NA
Tbb927VSG-739,Trypanosoma brucei brucei,NA
Tbb927VSG-748,Trypanosoma brucei brucei,NA
Tbb927VSG-750,Trypanosoma brucei brucei,NA
Tbb927VSG-755,Trypanosoma brucei brucei,NA
Tbb927VSG-757,Trypanosoma brucei brucei,NA
Tbb927VSG-759,Trypanosoma brucei brucei,NA
Tbb927VSG-761,Trypanosoma brucei brucei,NA
Tbb927VSG-763,Trypanosoma brucei brucei,NA
Tbb927VSG-766,Trypanosoma brucei brucei,NA
Tbb927VSG-767,Trypanosoma brucei brucei,NA
Tbb927VSG-770,Trypanosoma brucei brucei,NA
Tbb927VSG-772,Trypanosoma brucei brucei,NA
Tbb927VSG-775,Trypanosoma brucei brucei,NA
Tbb927VSG-779,Trypanosoma brucei brucei,NA
Tbb927VSG-781,Trypanosoma brucei brucei,NA
Tbb927VSG-783,Trypanosoma brucei brucei,NA
Tbb927VSG-784,Trypanosoma brucei brucei,NA
Tbb927VSG-787,Trypanosoma brucei brucei,NA
Tbb927VSG-790,Trypanosoma brucei brucei,NA
Tbb927VSG-791,Trypanosoma brucei brucei,NA
Tbb927VSG-792,Trypanosoma brucei brucei,NA
Tbb927VSG-793,Trypanosoma brucei brucei,NA
Tbb927VSG-794,Trypanosoma brucei brucei,NA
Tbb927VSG-795,Trypanosoma brucei brucei,NA
Tbb927VSG-799,Trypanosoma brucei brucei,NA
Tbb927VSG-800,Trypanosoma brucei brucei,NA
Tbb927VSG-805,Trypanosoma brucei brucei,NA
Tbb927VSG-810,Trypanosoma brucei brucei,NA
Tbb927VSG-812,Trypanosoma brucei brucei,NA
Tbb927VSG-813,Trypanosoma brucei brucei,NA
Tbb927VSG-815,Trypanosoma brucei brucei,NA
Tbb927VSG-816,Trypanosoma brucei brucei,NA
Tbb927VSG-1001,Trypanosoma brucei brucei,NA
Tbb927VSG-1003,Trypanosoma brucei brucei,NA
Tbb927VSG-1004,Trypanosoma brucei brucei,NA
Tbb927VSG-1005,Trypanosoma brucei brucei,NA
Tbb927VSG-1006,Trypanosoma brucei brucei,NA
Tbb927VSG-1007,Trypanosoma brucei brucei,NA
Tbb927VSG-1008,Trypanosoma brucei brucei,NA
Tbb927VSG-1009,Trypanosoma brucei brucei,NA
Tbb927VSG-1010,Trypanosoma brucei brucei,NA
Tbb927VSG-1011,Trypanosoma brucei brucei,NA
Tbb927VSG-1012,Trypanosoma brucei brucei,NA
Tbb927VSG-1017,Trypanosoma brucei brucei,NA
Tbb927VSG-1019,Trypanosoma brucei brucei,NA
Tbb927VSG-1021,Trypanosoma brucei brucei,NA
Tbb927VSG-1022,Trypanosoma brucei brucei,NA
Tbb927VSG-1023,Trypanosoma brucei brucei,NA
Tbb927VSG-1024,Trypanosoma brucei brucei,NA
Tbb927VSG-1025,Trypanosoma brucei brucei,NA
Tbb927VSG-1027,Trypanosoma brucei brucei,NA
Tbb927VSG-1031,Trypanosoma brucei brucei,NA
Tbb927VSG-1032,Trypanosoma brucei brucei,NA
Tbb927VSG-1035,Trypanosoma brucei brucei,NA
Tbb927VSG-1036,Trypanosoma brucei brucei,NA
Tbb927VSG-1040,Trypanosoma brucei brucei,NA
Tbb927VSG-1041,Trypanosoma brucei brucei,NA
Tbb927VSG-1043,Trypanosoma brucei brucei,NA
Tbb927VSG-1046,Trypanosoma brucei brucei,NA
Tbb927VSG-1047,Trypanosoma brucei brucei,NA
Tbb927VSG-1048,Trypanosoma brucei brucei,NA
Tbb927VSG-1049,Trypanosoma brucei brucei,NA
Tbb927VSG-1050,Trypanosoma brucei brucei,NA
Tbb927VSG-1055,Trypanosoma brucei brucei,NA
Tbb927VSG-1057,Trypanosoma brucei brucei,NA
Tbb927VSG-1058,Trypanosoma brucei brucei,NA
Tbb927VSG-1059,Trypanosoma brucei brucei,NA
Tbb927VSG-1060,Trypanosoma brucei brucei,NA
Tbb927VSG-1063,Trypanosoma brucei brucei,NA
Tbb927VSG-1064,Trypanosoma brucei brucei,NA
Tbb927VSG-1067,Trypanosoma brucei brucei,NA
Tbb927VSG-1069,Trypanosoma brucei brucei,NA
Tbb927VSG-1070,Trypanosoma brucei brucei,NA
Tbb927VSG-1071,Trypanosoma brucei brucei,NA
Tbb927VSG-1072,Trypanosoma brucei brucei,NA
Tbb927VSG-1073,Trypanosoma brucei brucei,NA
Tbb927VSG-1501,Trypanosoma brucei brucei,NA
Tbb927VSG-1503,Trypanosoma brucei brucei,NA
Tbb927VSG-1504,Trypanosoma brucei brucei,NA
Tbb927VSG-1505,Trypanosoma brucei brucei,NA
Tbb927VSG-1506,Trypanosoma brucei brucei,NA
Tbb927VSG-1508,Trypanosoma brucei brucei,NA
Tbb927VSG-1509,Trypanosoma brucei brucei,NA
Tbb927VSG-1510,Trypanosoma brucei brucei,NA
Tbb927VSG-1512,Trypanosoma brucei brucei,NA
Tbb927VSG-1515,Trypanosoma brucei brucei,NA
Tbb927VSG-1517,Trypanosoma brucei brucei,NA
Tbb927VSG-1520,Trypanosoma brucei brucei,NA
Tbb927VSG-1521,Trypanosoma brucei brucei,NA
Tbb927VSG-1529,Trypanosoma brucei brucei,NA
Tbb927VSG-1531,Trypanosoma brucei brucei,NA
Tbb927VSG-1532,Trypanosoma brucei brucei,NA
Tbb927VSG-1533,Trypanosoma brucei brucei,NA
Tbb927VSG-1534,Trypanosoma brucei brucei,NA
Tbb927VSG-1536,Trypanosoma brucei brucei,NA
Tbb927VSG-1538,Trypanosoma brucei brucei,NA
Tbb927VSG-1539,Trypanosoma brucei brucei,NA
Tbb927VSG-1544,Trypanosoma brucei brucei,NA
Tbb927VSG-1547,Trypanosoma brucei brucei,NA
Tbb927VSG-1548,Trypanosoma brucei brucei,NA
Tbb927VSG-1551,Trypanosoma brucei brucei,NA
Tbb927VSG-1552,Trypanosoma brucei brucei,NA
Tbb927VSG-1553,Trypanosoma brucei brucei,NA
Tbb927VSG-1555,Trypanosoma brucei brucei,NA
Tbb927VSG-1556,Trypanosoma brucei brucei,NA
Tbb927VSG-1560,Trypanosoma brucei brucei,NA
Tbb927VSG-1561,Trypanosoma brucei brucei,NA
Tbb927VSG-1563,Trypanosoma brucei brucei,NA
Tbb927VSG-1565,Trypanosoma brucei brucei,NA
Tbb927VSG-1566,Trypanosoma brucei brucei,NA
Tbb927VSG-1569,Trypanosoma brucei brucei,NA
Tbb927VSG-1570,Trypanosoma brucei brucei,NA
Tbb927VSG-1575,Trypanosoma brucei brucei,NA
Tbb927VSG-1579,Trypanosoma brucei brucei,NA
Tbb927VSG-1580,Trypanosoma brucei brucei,NA
Tbb927VSG-1584,Trypanosoma brucei brucei,NA
Tbb927VSG-1585,Trypanosoma brucei brucei,NA
Tbb927VSG-1586,Trypanosoma brucei brucei,NA
Tbb927VSG-1588,Trypanosoma brucei brucei,NA
Tbb927VSG-1589,Trypanosoma brucei brucei,NA
Tbb927VSG-1591,Trypanosoma brucei brucei,NA
Tbb927VSG-1592,Trypanosoma brucei brucei,NA
Tbb927VSG-1593,Trypanosoma brucei brucei,NA
Tbb927VSG-1598,Trypanosoma brucei brucei,NA
Tbb927VSG-1605,Trypanosoma brucei brucei,NA
Tbb927VSG-1606,Trypanosoma brucei brucei,NA
Tbb927VSG-1611,Trypanosoma brucei brucei,NA
Tbb927VSG-1614,Trypanosoma brucei brucei,NA
Tbb927VSG-1615,Trypanosoma brucei brucei,NA
Tbb927VSG-1616,Trypanosoma brucei brucei,NA
Tbb927VSG-1617,Trypanosoma brucei brucei,NA
Tbb927VSG-1620,Trypanosoma brucei brucei,NA
Tbb927VSG-1621,Trypanosoma brucei brucei,NA
Tbb927VSG-1622,Trypanosoma brucei brucei,NA
Tbb927VSG-1623,Trypanosoma brucei brucei,NA
Tbb927VSG-1627,Trypanosoma brucei brucei,NA
Tbb927VSG-1631,Trypanosoma brucei brucei,NA
Tbb927VSG-1633,Trypanosoma brucei brucei,NA
Tbb927VSG-1637,Trypanosoma brucei brucei,NA
Tbb927VSG-1638,Trypanosoma brucei brucei,NA
Tbb927VSG-1639,Trypanosoma brucei brucei,NA
Tbb927VSG-1640,Trypanosoma brucei brucei,NA
Tbb927VSG-1646,Trypanosoma brucei brucei,NA
Tbb927VSG-1658,Trypanosoma brucei brucei,NA
Tbb927VSG-1661,Trypanosoma brucei brucei,NA
Tbb927VSG-1662,Trypanosoma brucei brucei,NA
Tbb927VSG-1663,Trypanosoma brucei brucei,NA
Tbb927VSG-1664,Trypanosoma brucei brucei,NA
Tbb927VSG-1668,Trypanosoma brucei brucei,NA
Tbb927VSG-1671,Trypanosoma brucei brucei,NA
Tbb927VSG-1673,Trypanosoma brucei brucei,NA
Tbb927VSG-1674,Trypanosoma brucei brucei,NA
Tbb927VSG-1676,Trypanosoma brucei brucei,NA
Tbb927VSG-1678,Trypanosoma brucei brucei,NA
Tbb927VSG-1680,Trypanosoma brucei brucei,NA
Tbb927VSG-1683,Trypanosoma brucei brucei,NA
Tbb927VSG-1684,Trypanosoma brucei brucei,NA
Tbb927VSG-1686,Trypanosoma brucei brucei,NA
Tbb927VSG-1688,Trypanosoma brucei brucei,NA
Tbb927VSG-1691,Trypanosoma brucei brucei,NA
Tbb927VSG-1696,Trypanosoma brucei brucei,NA
Tbb927VSG-1697,Trypanosoma brucei brucei,NA
Tbb927VSG-1702,Trypanosoma brucei brucei,NA
Tbb927VSG-1705,Trypanosoma brucei brucei,NA
Tbb927VSG-1710,Trypanosoma brucei brucei,NA
Tbb927VSG-1712,Trypanosoma brucei brucei,NA
Tbb927VSG-1713,Trypanosoma brucei brucei,NA
Tbb927VSG-1715,Trypanosoma brucei brucei,NA
Tbb927VSG-1721,Trypanosoma brucei brucei,NA
Tbb927VSG-1723,Trypanosoma brucei brucei,NA
Tbb927VSG-1728,Trypanosoma brucei brucei,NA
